station_name,lat,lon
小沟河雨量站,28.327115,100.946395
龚家沟雨量站,27.945374,100.996563
立洲厂房,27.956624,101.018515
立洲大坝,28.086984,100.935613
前山雨量站,28.212752,100.963218
一区雨量站,28.144319,100.842401
陇撒牧场雨量站,28.405151,100.762374
俄公堡厂房,28.33417,100.882977
俄公堡大坝,28.464249,100.892344
次德雨量站,28.49156,100.952296
让白牧场雨量站,28.51318,101.071107
三区雨量站,28.536944,100.859717
卡基娃厂房,28.657708,100.921537
卡基娃大坝,28.708092,100.88964
布昌雨量站,28.75309,100.970675
墨若雨量站,28.784097,100.866562
上通坝厂房,28.940289,100.856777
上通坝大坝,29.118481,100.839761
绒古牧场雨量站,29.324346,100.736132
拉拉村雨量站,29.338414,100.727774
德巫雨量站,29.455938,100.589061
藏坝雨量站,29.643155,100.440434
濯桑雨量站,29.698836,100.385771
瓦屋山,29.670044,103.038583
卡基娃生态,28.703763,100.893931
电站一,29.879034,100.284941
电站二,29.842803,100.288825
电站三,29.699777,100.336375
木拉电站,29.690206,100.559138
